Date,Stock,liabilities,equity,total_assets,current_assets,current_liabilities,total_revenue,net_income,dividend,shares_outstanding,price
31-07-2006,Stock 1,625.8986861,925.0865178,1550.985204,675.7899055,555.9313285,548.4884509,251.2825532,68.18403019,1040831,100
31-08-2006,Stock 1,407.3874672,903.2490933,1310.636561,1023.110983,1295.18624,513.4464316,207.5769401,42.23267248,1046649,101.9241694
29-09-2006,Stock 1,464.0698905,602.6688317,1066.738722,709.7116731,598.7193384,503.519871,133.7196998,28.83572165,1094158,103.1661912
31-10-2006,Stock 1,855.8549367,391.3753695,1247.230306,649.9795644,733.5943392,596.0063973,-76.88181822,0,1018574,104.478956
30-11-2006,Stock 1,453.9549687,956.4905655,1410.445534,1115.594551,1152.274711,965.9392475,-309.2043009,0,1036293,104.1609071
29-12-2006,Stock 1,917.585635,190.6342605,1108.219895,690.4150153,621.4524179,651.7626307,310.886323,75.47132173,1012960,103.1339227
31-01-2007,Stock 1,732.5906987,102.0391778,834.6298765,614.9978612,647.310393,633.4264553,-76.27352783,0,1024094,103.783624
28-02-2007,Stock 1,176.6958545,267.3337298,444.0295842,264.9287598,331.7364035,910.0398399,435.8579445,130.3026883,1049655,102.7718148
30-03-2007,Stock 1,351.9652356,191.3453013,543.3105369,232.5800033,263.6189795,337.1595857,3.160956983,0.815867005,1016395,104.50563
30-04-2007,Stock 1,602.1379719,543.8145484,1145.95252,773.7203538,871.8029745,613.3201875,103.1361429,29.58868947,1005116,105.2078614
31-05-2007,Stock 1,361.7910302,298.9090861,660.7001162,512.192995,643.9741657,602.9279512,-70.71388454,0,1032295,106.0488503
29-06-2007,Stock 1,884.9581743,683.3379682,1568.296143,1230.402058,1595.754465,186.270926,2.529017793,0.583403551,1066045,105.5668595
31-07-2007,Stock 1,251.3802185,910.9019101,1162.282129,707.9923395,804.9301826,904.23085,366.8226658,87.91420832,1031849,105.4727991
31-08-2007,Stock 1,421.774153,123.6976577,545.4718107,195.2985991,209.6807311,747.1635974,295.1452221,86.67053763,1028126,106.69852
28-09-2007,Stock 1,938.1539191,159.8210535,1097.974973,526.0132276,658.9879979,776.9681828,-303.4384249,0,1029657,108.3427791
31-10-2007,Stock 1,608.1664319,818.1783607,1426.344793,452.0808008,362.6941217,178.5530941,50.27782642,13.88523961,1013543,106.9480925
30-11-2007,Stock 1,727.7377502,542.6659951,1270.403745,498.3894247,515.739351,295.4713074,-128.3440385,0,1077439,107.5656619
31-12-2007,Stock 1,708.4024935,475.0347175,1183.437211,444.7390208,361.9200578,208.5430888,-14.7001379,0,1021976,106.8920168
31-01-2008,Stock 1,208.4118741,777.1292393,985.5411135,333.8333896,343.2231486,988.3310968,160.3198688,35.81453689,1066225,106.5808817
29-02-2008,Stock 1,940.4503305,661.2452388,1601.695569,1001.351123,940.66908,162.8573644,75.86096326,19.00219518,1004100,107.2810096
31-03-2008,Stock 1,329.4553593,207.9385595,537.3939188,372.1227746,342.7957115,330.5007543,-139.8370644,0,1097785,108.3674783
30-04-2008,Stock 1,959.1287338,190.8690971,1149.997831,724.5262296,921.6789501,224.6602569,-45.91469961,0,1057290,107.7599855
30-05-2008,Stock 1,614.5902755,113.9230698,728.5133453,511.4397716,614.5836702,151.6363432,-39.95313879,0,1009827,106.41002
30-06-2008,Stock 1,265.5467279,199.9661324,465.5128603,354.432453,325.2114993,862.4011723,112.9729948,32.57724521,1098618,104.8058748
31-07-2008,Stock 1,108.6919764,198.3161406,307.008117,110.3746718,132.6700324,741.6006093,9.961388891,2.738053429,1071509,105.290221
29-08-2008,Stock 1,888.3396862,351.3232544,1239.662941,697.795124,576.8803432,264.1971876,1.879626929,0.556687401,1074454,105.7777129
30-09-2008,Stock 1,926.5725063,205.495397,1132.067903,819.2291264,978.3192428,834.0376197,133.3274569,32.86706995,1066252,106.4592777
31-10-2008,Stock 1,989.6206649,718.9825646,1708.603229,917.6896151,1110.348685,807.6590964,4.166344556,1.243493605,1090686,106.8090501
28-11-2008,Stock 1,814.5596384,458.9956771,1273.555315,893.2068287,871.7830182,171.9196348,9.063059588,1.97489078,1094240,107.1720498
31-12-2008,Stock 1,200.2228033,989.3645159,1189.587319,408.0437075,331.3449514,926.3335363,313.4784491,80.70644269,1027903,107.5676661
30-01-2009,Stock 1,957.7003112,776.4439244,1734.144236,713.036397,636.6613186,611.5502462,-27.3320138,0,1069065,109.2496826
27-02-2009,Stock 1,641.5126489,714.5416724,1356.054321,456.5840211,411.4353173,752.7204497,241.9899757,64.17667247,1027806,109.5638944
31-03-2009,Stock 1,285.3973457,945.0970149,1230.494361,646.9828921,658.9959183,498.5500971,182.5534198,44.91205238,1008541,110.878372
30-04-2009,Stock 1,372.0398221,305.6493049,677.689127,312.3149284,312.4325561,914.1328765,393.4980849,101.4589495,1027346,112.341182
29-05-2009,Stock 1,100.0684954,942.7757165,1042.844212,318.3276813,406.0116699,982.179462,-53.40164717,0,1097363,114.5424918
30-06-2009,Stock 1,604.929339,364.7559961,969.6853351,300.8265434,297.6595785,172.4572321,-28.46517821,0,1091752,114.6789092
31-07-2009,Stock 1,453.669448,789.8557151,1243.525163,775.8414408,794.1129075,338.6313569,-132.1287557,0,1056925,114.2142366
31-08-2009,Stock 1,584.6412202,969.386442,1554.027662,1143.8367,1264.932463,452.8721852,-145.0600135,0,1073461,113.2931084
30-09-2009,Stock 1,265.9018522,239.9858747,505.8877268,340.988927,411.6630332,349.406031,100.3524781,20.33386535,1060464,112.217843
30-10-2009,Stock 1,760.7042636,298.5453746,1059.249638,635.6237668,650.199922,703.6340385,12.62619346,2.743924039,1089239,112.5056399
30-11-2009,Stock 1,688.5481789,770.9304633,1459.478642,948.1420474,1077.073357,517.0225728,144.5817052,36.14448119,1042979,112.724419
31-12-2009,Stock 1,719.2436028,212.7725585,932.0161613,509.1808419,510.3934581,238.3177345,13.12654699,2.926446652,1022958,113.5252834
29-01-2010,Stock 1,878.7678663,482.803331,1361.571197,735.7466584,721.4993613,449.0631294,-9.711051481,0,1094642,113.8716798
26-02-2010,Stock 1,822.7146322,377.7706137,1200.485246,761.6217601,736.5837589,707.6369687,238.3986533,48.61387096,1071364,113.6258535
